Tipo,Valor,Timestamp
Temperatura,91.27,5081
Evento,JOYSTICK MOVIDO,8728
Evento,JOYSTICK MOVIDO,10070
Temperatura,90.81,10412
Evento,JOYSTICK MOVIDO,11454
Evento,JOYSTICK MOVIDO,12796
Evento,JOYSTICK MOVIDO,13737
Evento,BOTAO A PRESSIONADO,15079
Temperatura,90.81,15421
Evento,BOTAO B PRESSIONADO,16663
Evento,BOTAO A PRESSIONADO,18605
Evento,BUZZER ATIVADO,19946
Evento,BUZZER ATIVADO,20488
Temperatura,90.81,20830
Evento,BUZZER ATIVADO,21072
Evento,BUZZER ATIVADO,21613
Evento,BUZZER ATIVADO,22155
Temperatura,90.81,25897
Evento,JOYSTICK MOVIDO,27350
Evento,JOYSTICK MOVIDO,28092
Evento,JOYSTICK MOVIDO,28833
Evento,JOYSTICK MOVIDO,29375
Evento,JOYSTICK MOVIDO,30117
Evento,JOYSTICK MOVIDO,30659
Temperatura,90.81,31000
Evento,JOYSTICK MOVIDO,31242
Evento,JOYSTICK MOVIDO,31784
Evento,JOYSTICK MOVIDO,32326
Temperatura,90.34,36067
Temperatura,89.87,41109
Temperatura,89.87,46151
